Time,Open,High,Low,Close,Volume
04.01.2004 19:00:00.000,106.920,107.350,106.000,106.240,25255.00
05.01.2004 19:00:00.000,106.250,106.420,105.930,106.200,23395.00
06.01.2004 19:00:00.000,106.220,106.420,105.890,106.190,24108.00
07.01.2004 19:00:00.000,106.170,106.260,106.030,106.190,18435.00
08.01.2004 19:00:00.000,106.170,108.250,106.040,106.760,29418.00
09.01.2004 19:00:00.000,106.760,106.760,106.760,106.760,0.00
10.01.2004 19:00:00.000,106.710,106.730,106.520,106.600,1021.00
11.01.2004 19:00:00.000,106.610,106.750,106.290,106.600,28424.00
12.01.2004 19:00:00.000,106.610,106.610,106.080,106.210,29818.00
13.01.2004 19:00:00.000,106.220,106.330,105.920,106.230,33808.00
14.01.2004 19:00:00.000,106.240,106.500,105.940,106.260,35257.00
15.01.2004 19:00:00.000,106.270,107.000,105.700,106.600,33407.00
16.01.2004 19:00:00.000,106.600,106.600,106.600,106.600,0.00
17.01.2004 19:00:00.000,106.800,106.800,106.520,106.670,2007.00
18.01.2004 19:00:00.000,106.650,107.480,106.310,107.200,32347.00
19.01.2004 19:00:00.000,107.210,107.910,106.800,107.010,42497.00
20.01.2004 19:00:00.000,107.010,107.300,106.570,106.820,37803.00
21.01.2004 19:00:00.000,106.820,107.020,105.910,106.120,37869.00
22.01.2004 19:00:00.000,106.160,106.820,105.710,106.710,39614.00
23.01.2004 19:00:00.000,106.710,106.710,106.710,106.710,0.00
24.01.2004 19:00:00.000,106.750,106.750,106.390,106.720,1738.00
25.01.2004 19:00:00.000,106.720,106.720,105.760,106.360,40400.00
26.01.2004 19:00:00.000,106.370,106.390,105.430,105.630,38577.00
27.01.2004 19:00:00.000,105.620,106.610,105.420,106.130,39647.00
28.01.2004 19:00:00.000,106.130,106.240,105.600,105.910,37685.00
29.01.2004 19:00:00.000,105.930,106.130,105.560,105.660,44293.00
30.01.2004 19:00:00.000,105.660,105.660,105.660,105.660,0.00
31.01.2004 19:00:00.000,105.630,105.810,105.550,105.620,1800.00
01.02.2004 19:00:00.000,105.620,105.770,105.340,105.510,32687.00
02.02.2004 19:00:00.000,105.530,105.860,105.180,105.450,40452.00
03.02.2004 19:00:00.000,105.470,105.650,105.240,105.450,37215.00
04.02.2004 19:00:00.000,105.460,106.050,105.330,105.570,39200.00
05.02.2004 19:00:00.000,105.580,106.800,105.350,105.450,45754.00
06.02.2004 19:00:00.000,105.450,105.450,105.450,105.450,0.00
07.02.2004 19:00:00.000,105.700,106.090,105.490,105.660,2174.00
08.02.2004 19:00:00.000,105.670,105.890,105.460,105.830,37592.00
09.02.2004 19:00:00.000,105.830,105.900,105.280,105.580,38735.00
10.02.2004 19:00:00.000,105.570,105.710,105.140,105.320,40207.00
11.02.2004 19:00:00.000,105.320,105.590,105.220,105.300,31972.00
12.02.2004 19:00:00.000,105.310,105.600,105.220,105.420,28140.00
13.02.2004 19:00:00.000,105.420,105.420,105.420,105.420,0.00
14.02.2004 19:00:00.000,105.520,105.520,105.400,105.480,1311.00
15.02.2004 19:00:00.000,105.480,105.590,105.310,105.450,19861.00
16.02.2004 19:00:00.000,105.460,106.000,105.390,105.590,30994.00
17.02.2004 19:00:00.000,105.570,107.120,105.470,106.280,42069.00
18.02.2004 19:00:00.000,106.300,107.430,106.290,106.900,58249.00
19.02.2004 19:00:00.000,106.920,109.340,106.880,109.010,63935.00
20.02.2004 19:00:00.000,109.010,109.010,109.010,109.010,0.00
21.02.2004 19:00:00.000,108.980,109.010,108.570,108.730,2626.00
22.02.2004 19:00:00.000,108.680,109.380,108.030,108.260,53157.00
23.02.2004 19:00:00.000,108.290,108.740,108.000,108.210,46380.00
24.02.2004 19:00:00.000,108.200,109.120,108.000,108.970,49630.00
25.02.2004 19:00:00.000,108.970,109.830,108.710,109.500,54717.00
26.02.2004 19:00:00.000,109.510,109.690,108.810,109.130,52188.00
27.02.2004 19:00:00.000,109.130,109.130,109.130,109.130,0.00
28.02.2004 19:00:00.000,109.010,109.150,108.950,109.050,2014.00
29.02.2004 19:00:00.000,109.060,109.410,108.830,108.930,40250.00
01.03.2004 19:00:00.000,108.930,110.410,108.880,110.120,45439.00
02.03.2004 19:00:00.000,110.150,110.520,109.970,110.090,56830.00
03.03.2004 19:00:00.000,110.120,111.270,109.990,111.210,48986.00
04.03.2004 19:00:00.000,111.190,112.290,110.930,111.990,49898.00
05.03.2004 19:00:00.000,111.990,111.990,111.990,111.990,0.00
06.03.2004 19:00:00.000,111.990,112.240,111.990,112.060,2376.00
07.03.2004 19:00:00.000,112.100,112.330,111.080,111.300,44659.00
08.03.2004 19:00:00.000,111.310,111.610,110.190,111.420,48378.00
09.03.2004 19:00:00.000,111.420,111.480,110.670,110.910,49170.00
10.03.2004 19:00:00.000,110.910,111.080,110.400,110.850,49896.00
11.03.2004 19:00:00.000,110.830,111.390,110.570,110.760,47285.00
12.03.2004 19:00:00.000,110.760,110.760,110.760,110.760,0.00
13.03.2004 19:00:00.000,110.730,110.950,110.630,110.820,1744.00
14.03.2004 19:00:00.000,110.790,111.060,109.150,110.320,55356.00
15.03.2004 19:00:00.000,110.320,110.360,108.590,108.690,64911.00
16.03.2004 19:00:00.000,108.680,108.960,107.930,108.290,66704.00
17.03.2004 19:00:00.000,108.270,108.370,106.370,106.780,72535.00
18.03.2004 19:00:00.000,106.780,107.310,106.590,106.670,60434.00
19.03.2004 19:00:00.000,106.670,106.670,106.670,106.670,0.00
20.03.2004 19:00:00.000,106.800,106.950,106.630,106.900,1675.00
21.03.2004 19:00:00.000,106.910,107.650,106.690,106.720,46237.00
22.03.2004 19:00:00.000,106.730,106.940,106.430,106.730,46824.00
23.03.2004 19:00:00.000,106.730,106.950,106.000,106.410,53959.00
24.03.2004 19:00:00.000,106.430,106.440,105.730,106.130,55450.00
25.03.2004 19:00:00.000,106.120,106.180,105.480,106.000,50498.00
26.03.2004 19:00:00.000,106.000,106.000,106.000,106.000,0.00
27.03.2004 19:00:00.000,105.810,105.860,105.230,105.660,4959.00
28.03.2004 19:00:00.000,105.670,105.940,105.230,105.420,46866.00
29.03.2004 19:00:00.000,105.440,106.230,105.390,105.880,45611.00
30.03.2004 19:00:00.000,105.890,105.900,103.380,104.000,69219.00
31.03.2004 19:00:00.000,103.990,104.490,103.440,103.760,55013.00
01.04.2004 19:00:00.000,103.770,104.740,103.730,104.460,49478.00
02.04.2004 19:00:00.000,104.460,104.460,104.460,104.460,0.00
03.04.2004 19:00:00.000,104.460,104.560,104.100,104.310,3927.00
04.04.2004 20:00:00.000,104.300,105.440,104.210,105.100,54602.00
05.04.2004 20:00:00.000,105.120,107.210,105.060,105.900,64697.00
06.04.2004 20:00:00.000,105.890,106.150,104.930,105.410,56947.00
07.04.2004 20:00:00.000,105.440,106.730,105.350,106.680,52475.00
08.04.2004 20:00:00.000,106.680,106.770,105.920,106.360,18530.00
09.04.2004 20:00:00.000,106.360,106.360,106.360,106.360,0.00
10.04.2004 20:00:00.000,106.340,106.420,106.150,106.360,1243.00
11.04.2004 20:00:00.000,106.320,106.460,105.230,105.350,37645.00
12.04.2004 20:00:00.000,105.400,107.020,105.020,106.840,60945.00
13.04.2004 20:00:00.000,106.840,108.990,106.690,108.390,69542.00
14.04.2004 20:00:00.000,108.400,109.270,108.040,108.340,91149.00
15.04.2004 20:00:00.000,108.370,108.900,107.470,107.860,89685.00
16.04.2004 20:00:00.000,107.860,107.860,107.860,107.860,0.00
17.04.2004 20:00:00.000,107.690,107.820,107.570,107.730,1842.00
18.04.2004 20:00:00.000,107.740,108.700,107.620,108.520,60698.00
19.04.2004 20:00:00.000,108.520,109.140,107.640,109.130,80054.00
20.04.2004 20:00:00.000,109.120,109.770,108.520,109.380,79954.00
21.04.2004 20:00:00.000,109.380,109.900,109.100,109.570,76877.00
22.04.2004 20:00:00.000,109.570,109.840,108.570,108.900,66471.00
23.04.2004 20:00:00.000,108.900,108.900,108.900,108.900,0.00
24.04.2004 20:00:00.000,108.950,109.320,108.890,109.280,3259.00
25.04.2004 20:00:00.000,109.270,109.340,108.260,108.640,56340.00
26.04.2004 20:00:00.000,108.650,109.870,108.350,109.550,65914.00
27.04.2004 20:00:00.000,109.550,110.270,108.750,110.160,74032.00
28.04.2004 20:00:00.000,110.130,111.050,109.500,109.940,66682.00
29.04.2004 20:00:00.000,109.940,110.640,109.920,110.520,47680.00
30.04.2004 20:00:00.000,110.520,110.520,110.520,110.520,0.00
01.05.2004 20:00:00.000,110.410,110.470,110.260,110.320,1793.00
02.05.2004 20:00:00.000,110.300,110.720,109.780,110.330,56908.00
03.05.2004 20:00:00.000,110.310,110.620,109.220,109.430,55730.00
04.05.2004 20:00:00.000,109.430,109.600,108.290,108.720,72877.00
05.05.2004 20:00:00.000,108.710,109.920,108.610,109.880,64494.00
06.05.2004 20:00:00.000,109.850,112.500,109.840,112.280,60734.00
07.05.2004 20:00:00.000,112.280,112.280,112.280,112.280,0.00
08.05.2004 20:00:00.000,112.310,112.960,112.110,112.940,4300.00
09.05.2004 20:00:00.000,112.930,114.160,112.400,113.580,89015.00
10.05.2004 20:00:00.000,113.600,113.870,112.860,113.000,70119.00
11.05.2004 20:00:00.000,112.980,113.500,112.400,112.860,65943.00
12.05.2004 20:00:00.000,112.860,114.700,112.820,114.590,75745.00
13.05.2004 20:00:00.000,114.590,114.900,113.950,114.280,50731.00
14.05.2004 20:00:00.000,114.280,114.280,114.280,114.280,0.00
15.05.2004 20:00:00.000,114.190,114.660,114.140,114.570,4343.00
16.05.2004 20:00:00.000,114.590,114.710,113.040,113.850,77642.00
17.05.2004 20:00:00.000,113.850,114.720,113.370,113.810,66969.00
18.05.2004 20:00:00.000,113.790,114.070,112.400,113.200,68724.00
19.05.2004 20:00:00.000,113.210,113.890,112.540,112.790,54006.00
20.05.2004 20:00:00.000,112.810,113.080,111.730,112.410,60265.00
21.05.2004 20:00:00.000,112.410,112.410,112.410,112.410,0.00
22.05.2004 20:00:00.000,112.330,112.500,112.020,112.340,3606.00
